class,sha256,sample_name,source,is_malware,family,confidence,vt_detections,gt_reason,recheck_engine,recheck_family,recheck_vt_detections,recheck_note,analysis_status,error,file_path,family_corrected,family_source
benign,00002ea4413cad0dfc05648c2136d8149c12d144937abdf8b5352716c10b6fb1,00002EA4413CAD0DFC05648C2136D8149C12D144937ABDF8B5352716C10B6FB1.apk,benign_eval,no,,medium,,benign_source,virustotal,,0,confirmed_external,analyzed,,/home/kali/DroidForensix/samples/goodware/benign_eval/00002EA4413CAD0DFC05648C2136D8149C12D144937ABDF8B5352716C10B6FB1.apk,,unresolved
benign,000160700ddab3914c4a8a8f025a80aa8bee168e4784e980f0ce63396ee981d8,000160700DDAB3914C4A8A8F025A80AA8BEE168E4784E980F0CE63396EE981D8.apk,benign_eval,no,,medium,,benign_source,virustotal,,0,confirmed_external,analyzed,,/home/kali/DroidForensix/samples/goodware/benign_eval/000160700DDAB3914C4A8A8F025A80AA8BEE168E4784E980F0CE63396EE981D8.apk,,unresolved
benign,00018a5de07befd97112a72fa7850c6b0267167d61a74de16f2ae641b37a1860,00018A5DE07BEFD97112A72FA7850C6B0267167D61A74DE16F2AE641B37A1860.apk,benign_eval,no,,medium,,benign_source,virustotal,,0,confirmed_external,error: timeout after 900s,error: timeout after 900s,/home/kali/DroidForensix/samples/goodware/benign_eval/00018A5DE07BEFD97112A72FA7850C6B0267167D61A74DE16F2AE641B37A1860.apk,,unresolved
benign,0001b06d341866044de23e5205e057ef9118df2aa3249d5bce6937dad015d0d5,0001B06D341866044DE23E5205E057EF9118DF2AA3249D5BCE6937DAD015D0D5.apk,benign_eval,no,,medium,,benign_source,virustotal,,0,confirmed_external,analyzed,,/home/kali/DroidForensix/samples/goodware/benign_eval/0001B06D341866044DE23E5205E057EF9118DF2AA3249D5BCE6937DAD015D0D5.apk,,unresolved
benign,0001f6aab0d2f9b5b959f3d435163e1543ed3206816526de3e2afdd3a1485600,0001F6AAB0D2F9B5B959F3D435163E1543ED3206816526DE3E2AFDD3A1485600.apk,benign_eval,no,,medium,,benign_source,virustotal,,0,confirmed_external,analyzed,,/home/kali/DroidForensix/samples/goodware/benign_eval/0001F6AAB0D2F9B5B959F3D435163E1543ED3206816526DE3E2AFDD3A1485600.apk,,unresolved
benign,0002ca163461c26d3ea1d7384db1833d4002ca679d0ba1906494e1bb24a95896,0002CA163461C26D3EA1D7384DB1833D4002CA679D0BA1906494E1BB24A95896.apk,benign_eval,no,,medium,,benign_source,virustotal,AVE,1,confirmed_external,analyzed,,/home/kali/DroidForensix/samples/goodware/benign_eval/0002CA163461C26D3EA1D7384DB1833D4002CA679D0BA1906494E1BB24A95896.apk,AVE,vt_recheck
benign,0002ee103fad7c2eebc7e66e14faf074038103ede86339598428143d325708d4,0002EE103FAD7C2EEBC7E66E14FAF074038103EDE86339598428143D325708D4.apk,benign_eval,no,,medium,,benign_source,virustotal,,0,confirmed_external,analyzed,,/home/kali/DroidForensix/samples/goodware/benign_eval/0002EE103FAD7C2EEBC7E66E14FAF074038103EDE86339598428143D325708D4.apk,,unresolved
benign,0004ddaa01cdcb004a002f2923e666234eaa6d1f2acab4fee1db7a44aaebe21c,0004DDAA01CDCB004A002F2923E666234EAA6D1F2ACAB4FEE1DB7A44AAEBE21C.apk,benign_eval,no,,medium,,benign_source,virustotal,,0,confirmed_external,analyzed,,/home/kali/DroidForensix/samples/goodware/benign_eval/0004DDAA01CDCB004A002F2923E666234EAA6D1F2ACAB4FEE1DB7A44AAEBE21C.apk,,unresolved
benign,0005394ca712861ba3064a1aa693bc37e5092a22fa43f52ded3706ede452282f,0005394CA712861BA3064A1AA693BC37E5092A22FA43F52DED3706EDE452282F.apk,benign_eval,no,,medium,,benign_source,virustotal,,0,confirmed_external,error: timeout after 900s,error: timeout after 900s,/home/kali/DroidForensix/samples/goodware/benign_eval/0005394CA712861BA3064A1AA693BC37E5092A22FA43F52DED3706EDE452282F.apk,,unresolved
benign,00066353eca48a99661bc0bad4a3a29a009e97515aa7596a722c47ce2a769cfd,00066353ECA48A99661BC0BAD4A3A29A009E97515AA7596A722C47CE2A769CFD.apk,benign_eval,no,,medium,,benign_source,virustotal,,0,confirmed_external,analyzed,,/home/kali/DroidForensix/samples/goodware/benign_eval/00066353ECA48A99661BC0BAD4A3A29A009E97515AA7596A722C47CE2A769CFD.apk,,unresolved
