bucket,path,sha256,expected
packed_custom_positive,/home/kali/DroidForensix/RTO.apk,348f8b090b51ba27e9042f19730a61c04bb31691d7939fd1047dffc5f51a8d4e,must_flag_packed
known_clean,/home/kali/DroidForensix/samples/goodware/benign_eval/003EDE745544270210F826EDF3266510BF835CDE67FA5DF2AC7470008BD233B0.apk,003ede745544270210f826edf3266510bf835cde67fa5df2ac7470008bd233b0,must_not_flag
known_clean,/home/kali/DroidForensix/samples/goodware/benign_eval/0007A751120E9D2640A1CBF1C8CB542C793DF1BC72A0DDC575DAD4595DD548EC.apk,0007a751120e9d2640a1cbf1c8cb542c793df1bc72a0ddc575dad4595dd548ec,must_not_flag
known_clean,/home/kali/DroidForensix/samples/goodware/benign_eval/0001B06D341866044DE23E5205E057EF9118DF2AA3249D5BCE6937DAD015D0D5.apk,0001b06d341866044de23e5205e057ef9118df2aa3249d5bce6937dad015d0d5,must_not_flag
known_clean,/home/kali/DroidForensix/samples/goodware/benign_eval/004BB0821EA19800B8A4090F2C5AFE90D4E17EB1E175CF9B48595128BDDC0BB3.apk,004bb0821ea19800b8a4090f2c5afe90d4e17eb1e175cf9b48595128bddc0bb3,must_not_flag
known_clean,/home/kali/DroidForensix/samples/goodware/benign_eval/0017288B5BACA5108EFB77A2D98CB46812AFF622FB323F226F6B51FDE520A50A.apk,0017288b5baca5108efb77a2d98cb46812aff622fb323f226f6b51fde520a50a,must_not_flag
known_clean,/home/kali/DroidForensix/samples/goodware/benign_eval/0014EAB602A8CC6FEEC52CA0BFC1D24DC928A35BDAD6DE2EA37146460C5587DC.apk,0014eab602a8cc6feec52ca0bfc1d24dc928a35bdad6de2ea37146460c5587dc,must_not_flag
known_clean,/home/kali/DroidForensix/samples/goodware/benign_eval/001196437B56BF9CCE0DAE194E844492C8F45550B7EF90BD990B8D8C3082E905.apk,001196437b56bf9cce0dae194e844492c8f45550b7ef90bd990b8d8c3082e905,must_not_flag
known_clean,/home/kali/DroidForensix/samples/goodware/benign_eval/000AE491C179314322821CA65782E8F81163D11DF5D278A0375294C40ACB7BCF.apk,000ae491c179314322821ca65782e8f81163d11df5d278a0375294c40acb7bcf,must_not_flag
known_clean,/home/kali/DroidForensix/samples/goodware/benign_eval/00079D9B9227CF55BC484898F1979A7C29016CD0032C12A27477E6140C9A6B41.apk,00079d9b9227cf55bc484898f1979a7c29016cd0032c12a27477e6140c9a6b41,must_not_flag
